t	fluks1	fluks2	P	Tf	Tc	v	I	Xe	Pm	Sm	z1	z2	rho	pcrit	Tfin	Tcin	mdotf	mdotc	c1	c2	c3	c4	c5	c6
27.118752189	590031675.652	1.30199087163e+12	254326.324455	72.6237988802	56.6370489079	0.0	7.04591302647e+13	9.10204662432e+13	9.64084696662e+13	6.24144933773e+15	40.0	32.66	0.000564994588396	0.00643633	70.0	55.0	5.0	10.0	1365960741.33	3808203875.95	1004901456.72	797401664.937	64603634.1113	8964277.86768
27.6122471388	592754074.553	1.30807315689e+12	255500.61822	72.6550028836	56.6398864498	0.0	7.04594038633e+13	9.10204498476e+13	9.64085165351e+13	6.24144929087e+15	40.0	32.66	0.000556425838284	0.00643633	70.0	55.0	5.0	10.0	1368024106.05	3820370458.24	1011681054.44	803590282.651	64961108.5087	9007654.21424
28.1377383883	595483864.368	1.31417717381e+12	256678.157353	72.6881609512	56.6429334374	0.0	7.0459701452e+13	9.10204320144e+13	9.64085675065e+13	6.2414492399e+15	40.0	32.66	0.0005473175303	0.00643633	70.0	55.0	5.0	10.0	1370258651.05	3833465825.55	1018799078.02	809812531.54	65311084.2753	9051067.67096
28.6159174609	597828393.95	1.31942414679e+12	257689.55712	72.7182179944	56.6457183801	0.0	7.04599775337e+13	9.102041547e+13	9.64086147882e+13	6.2414491926e+15	40.0	32.66	0.00053905841554	0.00643633	70.0	55.0	5.0	10.0	1372322728.73	3845488494.66	1025175414.29	815162206.396	65607028.0566	9088311.65746
29.1260412987	600193638.146	1.32472189582e+12	258709.941878	72.7501108861	56.6486931819	0.0	7.04602773014e+13	9.1020397506e+13	9.64086661208e+13	6.24144914124e+15	40.0	32.66	0.000530292100888	0.00643633	70.0	55.0	5.0	10.0	1374554216.76	3858407444.28	1031862811.22	820559113.142	65902622.9478	9125857.56461
29.6417162283	602451507.924	1.32978356283e+12	259684.053611	72.7821233279	56.6516965294	0.0	7.04605855302e+13	9.10203790347e+13	9.64087188969e+13	6.24144908842e+15	40.0	32.66	0.000521490086139	0.00643633	70.0	55.0	5.0	10.0	1376838298.74	3871546813.14	1038494624.94	825707466.591	66182888.3771	9161680.95162
30.1629896609	604606695.942	1.33461934987e+12	260613.913454	72.814206901	56.6547216755	0.0	7.04609021221e+13	9.10203600619e+13	9.64087730998e+13	6.24144903416e+15	40.0	32.66	0.000512665659447	0.00643633	70.0	55.0	5.0	10.0	1379173497.25	3884893059.42	1045060529.94	830615976.809	66449213.1808	9195863.10018
30.6620478115	606557668.996	1.33900080922e+12	261455.707802	72.8446262006	56.6576022433	0.0	7.04612096884e+13	9.10203416297e+13	9.6408825753e+13	6.24144898144e+15	40.0	32.66	0.00050429634465	0.00643633	70.0	55.0	5.0	10.0	1381431686.6	3897716001.23	1051211568.87	835052931.752	66689597.8236	9226798.33913
31.1662469389	608423861.202	1.34319556795e+12	262260.962801	72.8750318524	56.6604923038	0.0	7.04615246204e+13	9.10203227556e+13	9.64088796631e+13	6.24144892745e+15	40.0	32.66	0.000495928219123	0.00643633	70.0	55.0	5.0	10.0	1383733392.25	3910702475.79	1057287787.18	839290105.982	66919083.6796	9256383.23663
31.6756535561	610208609.934	1.34721087655e+12	263031.115768	72.9053890423	56.6633875581	0.0	7.04618468609e+13	9.10203034432e+13	9.64089348204e+13	6.2414488722e+15	40.0	32.66	0.000487570872611	0.00643633	70.0	55.0	5.0	10.0	1386077542.46	3923842262.84	1063282546.72	843334952.12	67138240.8201	9284671.8881
32.1903380908	611915140.499	1.35105374281e+12	263767.555758	72.935664615	56.6662840023	0.0	7.04621763586e+13	9.10202836954e+13	9.64089912163e+13	6.2414488157e+15	40.0	32.66	0.000479233449794	0.00643633	70.0	55.0	5.0	10.0	1388463103.23	3937125426.15	1069189781.89	847194802.241	67347563.2731	9311716.07298
32.6813410881	613457868.356	1.35453091794e+12	264433.343589	72.9641547705	56.6690172391	0.0	7.04624941729e+13	9.10202646474e+13	9.64090456094e+13	6.24144876119e+15	40.0	32.66	0.000471385382076	0.00643633	70.0	55.0	5.0	10.0	1390753252.62	3949793550.84	1074683482.33	850676829.145	67536626.8636	9336160.19538
33.2064988185	615021208.007	1.35805782236e+12	265108.063582	72.9941825041	56.6719054434	0.0	7.04628376536e+13	9.10202440608e+13	9.64091043921e+13	6.24144870228e+15	40.0	32.66	0.000463111328541	0.00643633	70.0	55.0	5.0	10.0	1393216488.02	3963327962.94	1080405161.2	854197391.655	67728066.2878	9360926.38535
33.7075270849	616434096.794	1.36124832187e+12	265717.884612	73.0223859421	56.6746247348	0.0	7.04631686022e+13	9.1020224225e+13	9.64091610274e+13	6.2414486455e+15	40.0	32.66	0.000455337678627	0.00643633	70.0	55.0	5.0	10.0	1395578272.39	3976216630.76	1085715040.92	857371388.984	67900953.0367	9383304.71202
34.2264195413	646692692.999	1.42849968461e+12	278826.909239	73.0609277481	56.6775549997	0.0	7.04635697635e+13	9.10202002053e+13	9.64092296166e+13	6.24144857675e+15	40.0	32.76	0.000678656018129	0.00643633	70.0	55.0	5.0	10.0	1398487924.48	3992536367.56	1093701003.25	865569900.602	69316062.5621	9722419.14212
34.7138951738	651162457.708	1.43847320178e+12	280755.286521	73.098676734	56.6805566709	0.0	7.04639625806e+13	9.10201766881e+13	9.64092967656e+13	6.24144850943e+15	40.0	32.76	0.000668243740112	0.00643633	70.0	55.0	5.0	10.0	1401335010.07	4008499315.55	1101547558.33	873613589.377	70387491.0067	9861939.08341
35.2159264758	655127140.956	1.44733592185e+12	282465.910902	73.1378428715	56.683831816	0.0	7.04643763253e+13	9.10201519178e+13	9.64093674847e+13	6.24144843852e+15	40.0	32.76	0.000657436380929	0.00643633	70.0	55.0	5.0	10.0	1404324578.22	4025192687.28	1109632823.35	881590212.245	71217851.4306	9943865.49997
35.7288125556	658754919.234	1.45545804233e+12	284031.301119	73.1779451945	56.6873113165	0.0	7.04648074959e+13	9.10201261039e+13	9.6409441176e+13	6.24144836461e+15	40.0	32.76	0.000646366275301	0.00643633	70.0	55.0	5.0	10.0	1407429135.78	4042445947.06	1117842183.7	889357098.301	71879282.9923	10007222.8333
36.235050635	694033587.861	1.53389959298e+12	299313.219082	73.228110278	56.690995098	0.0	7.04653005919e+13	9.10200966026e+13	9.64095253948e+13	6.24144828015e+15	40.0	32.86	0.000866263841061	0.00643633	70.0	55.0	5.0	10.0	1411027892.17	4062885861.04	1128723899.93	902153324.739	73768238.5707	10409019.2178
36.7299963806	700801438.408	1.54900353171e+12	302233.712107	73.2792633596	56.6949723489	0.0	7.04658043284e+13	9.10200664658e+13	9.64096114163e+13	6.24144819386e+15	40.0	32.86	0.000852129474021	0.00643633	70.0	55.0	5.0	10.0	1414701886.14	4083741269.33	1139809641.27	914855483.772	75258203.0019	10595598.5018
37.2384850897	706862260.098	1.56255325588e+12	304849.337626	73.3324925737	56.6993460905	0.0	7.04663360337e+13	9.10200346538e+13	9.6409702205e+13	6.24144810277e+15	40.0	32.86	0.000837413707372	0.00643633	70.0	55.0	5.0	10.0	1418569285.23	4105612959.04	1151254507.69	927368394.356	76433504.1109	10713774.3721
37.7325104278	712170618.959	1.57443875856e+12	307140.418756	73.384570541	56.7037961676	0.0	7.04668648456e+13	9.10200030125e+13	9.64097924925e+13	6.24144801217e+15	40.0	32.86	0.000823008584114	0.00643633	70.0	55.0	5.0	10.0	1422403657.13	4127204920.19	1162351823.47	938936983.971	77346703.3815	10804789.4852
38.2559226956	753235753.601	1.66581461868e+12	324928.297592	73.4519880238	56.7088405488	0.0	7.04675050836e+13	9.10199647198e+13	9.6409901752e+13	6.24144790253e+15	40.0	32.96	0.00103789491965	0.00643633	70.0	55.0	5.0	10.0	1427096431.08	4154079024.63	1177280707.35	956812058.105	79686437.1137	11281402.6358
38.7544105696	762167842.574	1.68577735295e+12	328783.913261	73.5190089457	56.714118715	0.0	7.04681437355e+13	9.10199265199e+13	9.64100107251e+13	6.24144779316e+15	40.0	32.96	0.00101933267887	0.00643633	70.0	55.0	5.0	10.0	1431774283.3	4180845747.33	1192078712.85	973998119.633	81523745.2519	11510269.9307
39.2646142769	854693047.63	1.89163897035e+12	368872.04571	73.6165965542	56.7203016288	0.0	7.04689742584e+13	9.10198768744e+13	9.64101523388e+13	6.24144765105e+15	40.0	33.16	0.00145870778604	0.00643633	70.0	55.0	5.0	10.0	1437982815.97	4217444733.29	1214847455.68	1005402624.32	86571500.5983	12577585.6209
39.7590746655	872849505.611	1.9321860923e+12	376712.515059	73.7181115232	56.7274008769	0.0	7.04698372513e+13	9.10198252804e+13	9.64102994649e+13	6.24144750336e+15	40.0	33.16	0.00143054036708	0.00643633	70.0	55.0	5.0	10.0	1444438408.71	4255527747.9	1238462072.0	1036780757.24	90529004.45	13072952.7044
40.2621220713	1057888745.53	2.34409901803e+12	456897.237687	73.878080582	56.7362492037	0.0	7.04710545319e+13	9.10197525395e+13	9.64105068512e+13	6.24144729523e+15	40.0	33.46	0.00208387907424	0.00643633	70.0	55.0	5.0	10.0	1453748802.46	4312149867.88	1277414691.72	1095582607.92	100526516.85	15171510.749
40.7673267307	1098053033.53	2.43390098626e+12	474254.053983	74.0565167624	56.7475942405	0.0	7.04724098358e+13	9.10196715205e+13	9.64107377148e+13	6.24144706345e+15	40.0	33.46	0.00203421879824	0.00643633	70.0	55.0	5.0	10.0	1464128885.48	4375352697.38	1320680490.21	1158229938.5	108908778.321	16241056.7233
